unnamed: 0,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,remote_type
46,2020,Mid,Full time,Data Scientist,60000,GBP,76958,GB,100,GB,S,Remote
47,2020,Senior,Full time,Data Engineer,188000,USD,188000,US,100,US,L,Remote
48,2020,Mid,Full time,Data Scientist,105000,USD,105000,US,100,US,L,Remote
49,2020,Mid,Full time,Data Engineer,61500,EUR,70139,FR,50,FR,L,Hybrid
50,2020,Entry,Full time,Data Analyst,450000,INR,6072,IN,0,IN,S,On-site
51,2020,Entry,Full time,Data Analyst,91000,USD,91000,US,100,US,L,Remote
52,2020,Entry,Full time,AI Scientist,300000,DKK,45896,DK,50,DK,S,Hybrid
53,2020,Entry,Full time,Data Engineer,48000,EUR,54742,PK,100,DE,L,Remote
54,2020,Senior,,Computer Vision Engineer,60000,USD,60000,RU,100,US,S,Remote
55,2020,Senior,Full time,Principal Data Scientist,130000,EUR,148261,DE,100,DE,M,Remote
56,2020,Mid,Full time,Data Scientist,34000,EUR,38776,ES,100,ES,M,Remote
57,2020,Mid,Full time,Data Scientist,118000,USD,118000,US,100,US,M,Remote
58,2020,Senior,Full time,Data Scientist,120000,USD,120000,US,50,US,L,Hybrid
59,2020,Mid,Full time,Data Scientist,138350,USD,138350,US,100,US,M,Remote
60,2020,Mid,Full time,Data Engineer,110000,USD,110000,US,100,US,L,Remote
61,2020,Mid,Full time,Data Engineer,130800,USD,130800,ES,100,US,M,Remote
62,2020,Entry,Part time,Data Scientist,19000,EUR,21669,IT,50,IT,S,Hybrid
63,2020,Senior,Full time,Data Scientist,412000,USD,412000,US,100,US,L,Remote
64,2020,Senior,Full time,Machine Learning Engineer,40000,EUR,45618,HR,100,HR,S,Remote
65,2020,Entry,Full time,Data Scientist,55000,EUR,62726,DE,50,DE,S,Hybrid
66,2020,Entry,Full time,Data Scientist,43200,EUR,49268,DE,0,DE,S,On-site
67,2020,Senior,Full time,Data Science Manager,190200,USD,190200,US,100,US,M,Remote
68,2020,Entry,Full time,Data Scientist,105000,USD,105000,US,100,US,S,Remote
69,2020,Senior,Full time,Data Scientist,80000,EUR,91237,AT,0,AT,S,On-site
70,2020,Mid,Full time,Data Scientist,55000,EUR,62726,FR,50,LU,S,Hybrid
71,2020,Mid,Full time,Data Scientist,37000,EUR,42197,FR,50,FR,S,Hybrid
72,2021,Entry,Full time,Research Scientist,60000,GBP,82528,GB,50,GB,L,Hybrid
73,2021,Executive,Full time,BI Data Analyst,150000,USD,150000,IN,100,US,L,Remote
74,2021,Executive,Full time,Head of Data,235000,USD,235000,US,100,US,L,Remote
75,2021,Senior,Full time,Data Scientist,45000,EUR,53192,FR,50,FR,L,Hybrid
76,2021,Mid,Full time,BI Data Analyst,100000,USD,100000,US,100,US,M,Remote
77,2021,Mid,Part time,3D Computer Vision Researcher,400000,INR,5409,IN,50,IN,M,Hybrid
78,2021,Mid,,ML Engineer,270000,USD,270000,US,100,US,L,Remote
79,2021,Entry,Full time,Data Analyst,80000,USD,80000,US,100,US,M,Remote
80,2021,Senior,Full time,Data Analytics Engineer,67000,EUR,79197,DE,100,DE,L,Remote
81,2021,Mid,Full time,Data Engineer,140000,USD,140000,US,100,US,L,Remote
82,2021,Mid,Full time,Applied Data Scientist,68000,CAD,54238,GB,50,CA,L,Hybrid
83,2021,Mid,Full time,Machine Learning Engineer,40000,EUR,47282,ES,100,ES,S,Remote
84,2021,Executive,Full time,Director of Data Science,130000,EUR,153667,IT,100,PL,L,Remote
85,2021,Mid,Full time,Data Engineer,110000,PLN,28476,PL,100,PL,L,Remote
86,2021,Entry,Full time,Data Analyst,50000,EUR,59102,FR,50,FR,M,Hybrid
87,2021,Mid,Full time,Data Analytics Engineer,110000,USD,110000,US,100,US,L,Remote
88,2021,Senior,Full time,Lead Data Analyst,170000,USD,170000,US,100,US,L,Remote
89,2021,Senior,Full time,Data Analyst,80000,USD,80000,BG,100,US,S,Remote
90,2021,Senior,Full time,Marketing Data Analyst,75000,EUR,88654,GR,100,DK,L,Remote
91,2021,Entry,Full time,Data Science Consultant,65000,EUR,76833,DE,100,DE,S,Remote
92,2021,Mid,Full time,Lead Data Analyst,1450000,INR,19609,IN,100,IN,L,Remote
93,2021,Senior,Full time,Lead Data Engineer,276000,USD,276000,US,0,US,L,On-site
94,2021,Entry,Full time,Data Scientist,2200000,INR,29751,IN,50,IN,L,Hybrid
95,2021,Mid,Full time,Cloud Data Engineer,120000,SGD,89294,SG,50,SG,L,Hybrid
96,2021,Entry,Part time,AI Scientist,12000,USD,12000,BR,100,US,S,Remote
97,2021,Mid,Full time,Financial Data Analyst,450000,USD,450000,US,100,US,L,Remote
98,2021,Entry,Full time,Computer Vision Software Engineer,70000,USD,70000,US,100,US,M,Remote
99,2021,Mid,Full time,Computer Vision Software Engineer,81000,EUR,95746,DE,100,US,S,Remote
100,2021,Mid,Full time,Data Analyst,75000,USD,75000,US,0,US,L,On-site
101,2021,Senior,Full time,Data Engineer,150000,USD,150000,US,100,US,L,Remote
102,2021,Mid,Full time,BI Data Analyst,11000000,HUF,36259,HU,50,US,L,Hybrid
103,2021,Mid,Full time,Data Analyst,62000,USD,62000,US,0,US,L,On-site
104,2021,Mid,Full time,Data Scientist,73000,USD,73000,US,0,US,L,On-site
105,2021,Mid,Full time,Data Analyst,37456,GBP,51519,GB,50,GB,L,Hybrid
106,2021,Mid,Full time,Research Scientist,235000,CAD,187442,CA,100,CA,L,Remote
107,2021,Senior,Full time,Data Engineer,115000,USD,115000,US,100,US,S,Remote
108,2021,Senior,Full time,Data Engineer,150000,USD,150000,US,100,US,M,Remote
109,2021,Entry,Full time,Data Engineer,2250000,INR,30428,IN,100,IN,L,Remote
110,2021,Senior,Full time,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L,Hybrid
111,2021,Senior,Full time,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M,Remote
112,2021,Senior,Full time,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S,Remote
113,2021,Entry,Part time,AI Scientist,12000,USD,12000,PK,100,US,M,Remote
114,2021,Mid,Full time,Data Engineer,38400,EUR,45391,NL,100,NL,L,Remote
115,2021,Entry,Full time,Machine Learning Scientist,225000,USD,225000,US,100,US,L,Remote
116,2021,Mid,Full time,Data Scientist,50000,USD,50000,NG,100,NG,L,Remote
117,2021,Mid,Full time,Data Science Engineer,34000,EUR,40189,GR,100,GR,M,Remote
118,2021,Entry,Full time,Data Analyst,90000,USD,90000,US,100,US,S,Remote
119,2021,Mid,Full time,Data Engineer,200000,USD,200000,US,100,US,L,Remote
120,2021,Mid,Full time,Big Data Engineer,60000,USD,60000,ES,50,RO,M,Hybrid
121,2021,Senior,Full time,Principal Data Engineer,200000,USD,200000,US,100,US,M,Remote
122,2021,Entry,Full time,Data Analyst,50000,USD,50000,US,100,US,M,Remote
123,2021,Entry,Full time,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L,On-site
124,2021,Entry,Part time,Data Analyst,8760,EUR,10354,ES,50,ES,M,Hybrid
125,2021,Mid,Full time,Principal Data Scientist,151000,USD,151000,US,100,US,L,Remote
126,2021,Senior,Full time,Machine Learning Scientist,120000,USD,120000,US,50,US,S,Hybrid
127,2021,Mid,Full time,Data Scientist,700000,INR,9466,IN,0,IN,S,On-site
128,2021,Entry,Full time,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S,Remote
129,2021,Senior,Full time,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L,Hybrid
130,2021,Entry,Full time,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S,Hybrid
131,2021,Entry,Full time,Data Scientist,42000,EUR,49646,FR,50,FR,M,Hybrid
132,2021,Mid,Full time,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M,Remote
133,2021,Senior,Full time,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M,Remote
134,2021,Entry,Full time,Data Scientist,100000,USD,100000,US,0,US,S,On-site
135,2021,Mid,Full time,Data Analyst,90000,USD,90000,US,100,US,M,Remote
136,2021,Mid,Full time,ML Engineer,7000000,JPY,63711,JP,50,JP,S,Hybrid
137,2021,Mid,Full time,ML Engineer,8500000,JPY,77364,JP,50,JP,S,Hybrid
138,2021,Senior,Full time,Principal Data Scientist,220000,USD,220000,US,0,US,L,On-site
139,2021,Entry,Full time,Data Scientist,80000,USD,80000,US,100,US,M,Remote
140,2021,Mid,Full time,Data Analyst,135000,USD,135000,US,100,US,L,Remote
141,2021,Senior,Full time,Data Science Manager,240000,USD,240000,US,0,US,L,On-site
142,2021,Senior,Full time,Data Engineering Manager,150000,USD,150000,US,0,US,L,On-site
143,2021,Mid,Full time,Data Scientist,82500,USD,82500,US,100,US,S,Remote
144,2021,Mid,Full time,Data Engineer,100000,USD,100000,US,100,US,L,Remote
145,2021,Senior,Full time,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M,Hybrid
146,2021,Mid,Full time,Research Scientist,53000,EUR,62649,FR,50,FR,M,Hybrid
147,2021,Mid,Full time,Data Engineer,90000,USD,90000,US,100,US,L,Remote
148,2021,Senior,Full time,Data Engineering Manager,153000,USD,153000,US,100,US,L,Remote
149,2021,Senior,Full time,Cloud Data Engineer,160000,USD,160000,BR,100,US,S,Remote
150,2021,Senior,Full time,Director of Data Science,168000,USD,168000,JP,0,JP,S,On-site
151,2021,Mid,Full time,Data Scientist,150000,USD,150000,US,100,US,M,Remote
152,2021,Mid,Full time,Data Scientist,95000,CAD,75774,CA,100,CA,L,Remote
153,2021,Entry,Full time,Data Scientist,13400,USD,13400,UA,100,UA,L,Remote
154,2021,Senior,Full time,Data Science Manager,144000,USD,144000,US,100,US,L,Remote
155,2021,Senior,Full time,Data Science Engineer,159500,CAD,127221,CA,50,CA,L,Hybrid
156,2021,Mid,Full time,Data Scientist,160000,SGD,119059,SG,100,IL,M,Remote
157,2021,Mid,Full time,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L,Hybrid
158,2021,Senior,Full time,Data Analytics Manager,120000,USD,120000,US,100,US,M,Remote
159,2021,Entry,Full time,Machine Learning Engineer,125000,USD,125000,US,100,US,S,Remote
160,2021,Executive,Full time,Head of Data,230000,USD,230000,RU,50,RU,L,Hybrid
161,2021,Executive,Full time,Head of Data Science,85000,USD,85000,RU,0,RU,M,On-site
162,2021,Mid,Full time,Data Engineer,24000,EUR,28369,MT,50,MT,L,Hybrid
163,2021,Entry,Full time,Data Science Consultant,54000,EUR,63831,DE,50,DE,L,Hybrid
164,2021,Executive,Full time,Director of Data Science,110000,EUR,130026,DE,50,DE,M,Hybrid
165,2021,Senior,Full time,Data Specialist,165000,USD,165000,US,100,US,L,Remote
166,2021,Entry,Full time,Data Engineer,80000,USD,80000,US,100,US,L,Remote
167,2021,Executive,Full time,Director of Data Science,250000,USD,250000,US,0,US,L,On-site
168,2021,Entry,Full time,BI Data Analyst,55000,USD,55000,US,50,US,S,Hybrid
169,2021,Mid,Full time,Data Architect,150000,USD,150000,US,100,US,L,Remote
170,2021,Mid,Full time,Data Architect,170000,USD,170000,US,100,US,L,Remote
171,2021,Mid,Full time,Data Engineer,60000,GBP,82528,GB,100,GB,L,Remote
172,2021,Entry,Full time,Data Analyst,60000,USD,60000,US,100,US,S,Remote
173,2021,Senior,Full time,Principal Data Scientist,235000,USD,235000,US,100,US,L,Remote
174,2021,Senior,Full time,Research Scientist,51400,EUR,60757,PT,50,PT,L,Hybrid
175,2021,Senior,Full time,Data Engineering Manager,174000,USD,174000,US,100,US,L,Remote
176,2021,Mid,Full time,Data Scientist,58000,MXN,2859,MX,0,MX,S,On-site
177,2021,Mid,Full time,Data Scientist,30400000,CLP,40038,CL,100,CL,L,Remote
178,2021,Entry,Full time,Machine Learning Engineer,81000,USD,81000,US,50,US,S,Hybrid
179,2021,Mid,Full time,Data Scientist,420000,INR,5679,IN,100,US,S,Remote
180,2021,Mid,Full time,Big Data Engineer,1672000,INR,22611,IN,0,IN,L,On-site
181,2021,Mid,Full time,Data Scientist,76760,EUR,90734,DE,50,DE,L,Hybrid
182,2021,Mid,Full time,Data Engineer,22000,EUR,26005,RO,0,US,L,On-site
183,2021,Senior,Full time,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L,Hybrid
184,2021,Mid,,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M,Hybrid
185,2021,Mid,Full time,Data Engineer,4000,USD,4000,IR,100,IR,M,Remote
186,2021,Senior,Full time,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M,Remote
187,2021,Executive,Full time,Data Science Consultant,59000,EUR,69741,FR,100,ES,S,Remote
188,2021,Senior,Full time,Data Engineer,65000,EUR,76833,RO,50,GB,S,Hybrid
189,2021,Mid,Full time,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S,Hybrid
190,2021,Senior,Full time,Data Science Manager,152000,USD,152000,US,100,FR,L,Remote
191,2021,Entry,Full time,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M,Hybrid
192,2021,Mid,Full time,Big Data Engineer,18000,USD,18000,MD,0,MD,S,On-site
193,2021,Senior,Full time,Data Science Manager,174000,USD,174000,US,100,US,L,Remote
194,2021,Senior,Full time,Research Scientist,120500,CAD,96113,CA,50,CA,L,Hybrid
195,2021,Mid,Full time,Data Scientist,147000,USD,147000,US,50,US,L,Hybrid
196,2021,Entry,Full time,BI Data Analyst,9272,USD,9272,KE,100,KE,S,Remote
197,2021,Senior,Full time,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L,Remote
198,2021,Senior,Full time,Data Science Manager,4000000,INR,54094,IN,50,US,L,Hybrid
199,2021,Entry,Full time,Data Science Consultant,90000,USD,90000,US,100,US,S,Remote
200,2021,Mid,Full time,Data Scientist,52000,EUR,61467,DE,50,AT,M,Hybrid
201,2021,Senior,Full time,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M,Remote
202,2021,Mid,Full time,Data Scientist,32000,EUR,37825,ES,100,ES,L,Remote
203,2021,Senior,Full time,Research Scientist,50000,USD,50000,FR,100,US,S,Remote
204,2021,Mid,Full time,Data Scientist,160000,USD,160000,US,100,US,L,Remote
205,2021,Mid,Full time,Data Scientist,69600,BRL,12901,BR,0,BR,S,On-site
206,2021,Senior,Full time,Machine Learning Engineer,200000,USD,200000,US,100,US,L,Remote
207,2021,Senior,Full time,Data Engineer,165000,USD,165000,US,0,US,M,On-site
208,2021,Mid,,Data Engineer,20000,USD,20000,IT,0,US,L,On-site
209,2021,Senior,Full time,Data Analytics Manager,120000,USD,120000,US,0,US,L,On-site
210,2021,Mid,Full time,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L,Hybrid
211,2021,Mid,Full time,Research Scientist,48000,EUR,56738,FR,50,FR,S,Hybrid
212,2021,Mid,Full time,Data Engineer,48000,GBP,66022,HK,50,GB,S,Hybrid
213,2021,Entry,Full time,Big Data Engineer,435000,INR,5882,IN,0,CH,L,On-site
214,2021,Entry,Full time,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M,Hybrid
215,2021,Senior,Full time,Principal Data Engineer,185000,USD,185000,US,100,US,L,Remote
216,2021,Entry,Part time,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S,Hybrid
217,2021,Mid,Full time,Data Scientist,76760,EUR,90734,DE,50,DE,L,Hybrid
218,2021,Mid,Full time,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M,Remote
219,2021,Senior,Full time,Data Analytics Manager,140000,USD,140000,US,100,US,L,Remote
220,2021,Mid,Full time,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L,Remote
221,2021,Mid,Full time,Data Scientist,85000,GBP,116914,GB,50,GB,L,Hybrid
222,2021,Mid,Full time,Data Scientist,2500000,INR,33808,IN,0,IN,M,On-site
223,2021,Mid,Full time,Data Scientist,40900,GBP,56256,GB,50,GB,L,Hybrid
224,2021,Senior,Full time,Machine Learning Scientist,225000,USD,225000,US,100,CA,L,Remote
225,2021,Executive,,Principal Data Scientist,416000,USD,416000,US,100,US,S,Remote
226,2021,Senior,Full time,Data Scientist,110000,CAD,87738,CA,100,CA,S,Remote
227,2021,Mid,Full time,Data Scientist,75000,EUR,88654,DE,50,DE,L,Hybrid
228,2021,Senior,Full time,Data Scientist,135000,USD,135000,US,0,US,L,On-site
229,2021,Senior,Full time,Data Analyst,90000,CAD,71786,CA,100,CA,M,Remote
230,2021,Entry,Full time,Big Data Engineer,1200000,INR,16228,IN,100,IN,L,Remote
231,2021,Senior,Full time,ML Engineer,256000,USD,256000,US,100,US,S,Remote
232,2021,Senior,Full time,Director of Data Engineering,200000,USD,200000,US,100,US,L,Remote
233,2021,Senior,Full time,Data Analyst,200000,USD,200000,US,100,US,L,Remote
234,2021,Mid,Full time,Data Architect,180000,USD,180000,US,100,US,L,Remote
235,2021,Mid,Full time,Head of Data Science,110000,USD,110000,US,0,US,S,On-site
236,2021,Mid,Full time,Research Scientist,80000,CAD,63810,CA,100,CA,M,Remote
237,2021,Mid,Full time,Data Scientist,39600,EUR,46809,ES,100,ES,M,Remote
238,2021,Entry,Full time,Data Scientist,4000,USD,4000,VN,0,VN,M,On-site
239,2021,Entry,Full time,Data Engineer,1600000,INR,21637,IN,50,IN,M,Hybrid
240,2021,Senior,Full time,Data Scientist,130000,CAD,103691,CA,100,CA,L,Remote
241,2021,Mid,Full time,Data Analyst,80000,USD,80000,US,100,US,L,Remote
242,2021,Mid,Full time,Data Engineer,110000,USD,110000,US,100,US,L,Remote
243,2021,Senior,Full time,Data Scientist,165000,USD,165000,US,100,US,L,Remote
244,2021,Entry,Full time,AI Scientist,1335000,INR,18053,IN,100,AS,S,Remote
245,2021,Mid,Full time,Data Engineer,52500,GBP,72212,GB,50,GB,L,Hybrid
246,2021,Entry,Full time,Data Scientist,31000,EUR,36643,FR,50,FR,L,Hybrid
247,2021,Mid,Full time,Data Engineer,108000,TRY,12103,TR,0,TR,M,On-site
248,2021,Senior,Full time,Data Engineer,70000,GBP,96282,GB,50,GB,L,Hybrid
249,2021,Senior,Full time,Principal Data Analyst,170000,USD,170000,US,100,US,M,Remote
250,2021,Mid,Full time,Data Scientist,115000,USD,115000,US,50,US,L,Hybrid
251,2021,Entry,Full time,Data Scientist,90000,USD,90000,US,100,US,S,Remote
252,2021,Executive,Full time,Principal Data Engineer,600000,USD,600000,US,100,US,L,Remote
253,2021,Entry,Full time,Data Scientist,2100000,INR,28399,IN,100,IN,M,Remote
254,2021,Mid,Full time,Data Analyst,93000,USD,93000,US,100,US,L,Remote
255,2021,Senior,Full time,Big Data Architect,125000,CAD,99703,CA,50,CA,M,Hybrid
256,2021,Mid,Full time,Data Engineer,200000,USD,200000,US,100,US,L,Remote
257,2021,Senior,Full time,Principal Data Scientist,147000,EUR,173762,DE,100,DE,M,Remote
258,2021,Senior,Full time,Machine Learning Engineer,185000,USD,185000,US,50,US,L,Hybrid
259,2021,Executive,Full time,Director of Data Science,120000,EUR,141846,DE,0,DE,L,On-site
260,2021,Mid,Full time,Data Scientist,130000,USD,130000,US,50,US,L,Hybrid
261,2021,Senior,Full time,Data Analyst,54000,EUR,63831,DE,50,DE,L,Hybrid
262,2021,Mid,Full time,Data Scientist,1250000,INR,16904,IN,100,IN,S,Remote
263,2021,Senior,Full time,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L,On-site
264,2021,Mid,Full time,Data Scientist,21600,EUR,25532,RS,100,DE,S,Remote
265,2021,Senior,Full time,Lead Data Engineer,160000,USD,160000,PR,50,US,S,Hybrid
266,2021,Mid,Full time,Data Engineer,93150,USD,93150,US,0,US,M,On-site
267,2021,Mid,Full time,Data Engineer,111775,USD,111775,US,0,US,M,On-site
268,2021,Mid,Full time,Data Engineer,250000,TRY,28016,TR,100,TR,M,Remote
269,2021,Entry,Full time,Data Engineer,55000,EUR,65013,DE,50,DE,M,Hybrid
270,2021,Entry,Full time,Data Engineer,72500,USD,72500,US,100,US,L,Remote
271,2021,Senior,Full time,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M,On-site
272,2021,Entry,Full time,Data Science Consultant,65000,EUR,76833,DE,0,DE,L,On-site
273,2021,Entry,Full time,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S,Remote
274,2021,Senior,Full time,Data Scientist,65720,EUR,77684,FR,50,FR,M,Hybrid
275,2021,Entry,Full time,Data Scientist,100000,USD,100000,US,100,US,M,Remote
276,2021,Entry,Full time,Data Scientist,58000,USD,58000,US,50,US,L,Hybrid
277,2021,Senior,Full time,AI Scientist,55000,USD,55000,ES,100,ES,L,Remote
278,2021,Senior,Full time,Data Scientist,180000,TRY,20171,TR,50,TR,L,Hybrid
279,2021,Entry,Full time,Business Data Analyst,50000,EUR,59102,LU,100,LU,L,Remote
280,2021,Mid,Full time,Data Engineer,112000,USD,112000,US,100,US,L,Remote
281,2021,Entry,Full time,Research Scientist,100000,USD,100000,JE,0,CN,L,On-site
282,2021,Mid,Part time,Data Engineer,59000,EUR,69741,NL,100,NL,L,Remote
283,2021,Senior,,Staff Data Scientist,105000,USD,105000,US,100,US,M,Remote
284,2021,Mid,Full time,Research Scientist,69999,USD,69999,CZ,50,CZ,L,Hybrid
285,2021,Senior,Full time,Data Science Manager,7000000,INR,94665,IN,50,IN,L,Hybrid
286,2021,Senior,Full time,Head of Data,87000,EUR,102839,SI,100,SI,L,Remote
287,2021,Mid,Full time,Data Scientist,109000,USD,109000,US,50,US,L,Hybrid
288,2021,Mid,Full time,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L,Hybrid
289,2022,Senior,Full time,Data Engineer,135000,USD,135000,US,100,US,M,Remote
290,2022,Senior,Full time,Data Analyst,155000,USD,155000,US,100,US,M,Remote
291,2022,Senior,Full time,Data Analyst,120600,USD,120600,US,100,US,M,Remote
292,2022,Mid,Full time,Data Scientist,130000,USD,130000,US,0,US,M,On-site
293,2022,Mid,Full time,Data Scientist,90000,USD,90000,US,0,US,M,On-site
294,2022,Mid,Full time,Data Engineer,170000,USD,170000,US,100,US,M,Remote
295,2022,Mid,Full time,Data Engineer,150000,USD,150000,US,100,US,M,Remote
296,2022,Senior,Full time,Data Analyst,102100,USD,102100,US,100,US,M,Remote
297,2022,Senior,Full time,Data Analyst,84900,USD,84900,US,100,US,M,Remote
298,2022,Senior,Full time,Data Scientist,136620,USD,136620,US,100,US,M,Remote
299,2022,Senior,Full time,Data Scientist,99360,USD,99360,US,100,US,M,Remote
300,2022,Senior,Full time,Data Scientist,90000,GBP,117789,GB,0,GB,M,On-site
301,2022,Senior,Full time,Data Scientist,80000,GBP,104702,GB,0,GB,M,On-site
302,2022,Senior,Full time,Data Scientist,146000,USD,146000,US,100,US,M,Remote
303,2022,Senior,Full time,Data Scientist,123000,USD,123000,US,100,US,M,Remote
304,2022,Entry,Full time,Data Engineer,40000,GBP,52351,GB,100,GB,M,Remote
305,2022,Senior,Full time,Data Analyst,99000,USD,99000,US,0,US,M,On-site
306,2022,Senior,Full time,Data Analyst,116000,USD,116000,US,0,US,M,On-site
307,2022,Mid,Full time,Data Analyst,106260,USD,106260,US,0,US,M,On-site
308,2022,Mid,Full time,Data Analyst,126500,USD,126500,US,0,US,M,On-site
309,2022,Executive,Full time,Data Engineer,242000,USD,242000,US,100,US,M,Remote
310,2022,Executive,Full time,Data Engineer,200000,USD,200000,US,100,US,M,Remote
311,2022,Mid,Full time,Data Scientist,50000,GBP,65438,GB,0,GB,M,On-site
